_input_part_number,_status,_error,KeyValuePairs
1856M15G02,ok_ata,,"Part No.: 1856M15G02 | ATA Groups: POWER PLANT | Boeing Applicability: 767-200ERSF, 767-200EREM, 767-300BCF, 747-400, 767-300F, 767-300EREM, 767-200SF, 767-300ER, 767-300, 767-400ER, 747-400ERF, 767-200ERT, 767-200ER, 747-400PC, 747-400F | Description: SPOOL | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b747-400/power-plant-72/1856m15g02/
---
Part No.: 1856M15G02 | ATA Groups: Power Plant | Boeing Applicability: N/A | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/general-electric-cf6/power-plant-72/1856m15g02/
---
Part No.: 1856M15G02 | ATA Groups: Power Plant | Boeing Applicability: N/A | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/general-electric-cf6/power-plant-72/1856m15g02/"
326975,ok_ata,,Part No.: 326975 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: VALVE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/airbus-a320/aircraft-systems-30/326975/
53H687-01,ok_ata,,Part No.: 53H687-01 | ATA Groups: POWER PLANT | Boeing Applicability: 777-200 | Description: SHROUD | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b777/power-plant-72/53h687-01/
12099,no_match_in_ata,,
338-006-202-0,ok_ata,,Part No.: 338-006-202-0 | ATA Groups: Power Plant | Boeing Applicability: N/A | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/cfm-international-cfm56/power-plant-72/338-006-202-0/
45332-8039,ok_ata,,"Part No.: 45332-8039 | ATA Groups: POWER PLANT | Boeing Applicability: 737-700, 737-800, BBJ 737-800, 737-600, 737-900ER, 737-900, 737-700C, BBJ 737-700 | Description: HEAT EXCHANGER-OIL | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b737ng/power-plant-79/45332-8039/
---
Part No.: 45332-8039 | ATA Groups: POWER PLANT | Boeing Applicability: 737-900ER, 737 AEW&C, 737-800, 737-700, BBJ 737-800, 737-600, 737-700C, 737-900, BBJ 737-700, C-40B, C-40C, P-8 | Description: HEAT EXCHANGER-OIL | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/airbus-a320/power-plant-79/45332-8039/"
15-0810-5,ok_ata,,"Part No.: 15-0810-5 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: LIGHTFLOOD/STORM | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-33/15-0810-5/
---
Part No.: 15-0810-5 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: LIGHTFLOOD/STORM | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj170/aircraft-systems-33/15-0810-5/"
820914-7,ok_ata,,Part No.: 820914-7 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: PACK BYPASS VALVE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-21/820914-7/
1649M27G01,ok_ata,,Part No.: 1649M27G01 | ATA Groups: Power Plant | Boeing Applicability: N/A | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/general-electric-cf6/power-plant-71/1649m27g01/
RD-FA1041-01,ok_ata,,"Part No.: RD-FA1041-01 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 777-300, 777-200, 777-200LR, 777-200ER, 777-300ER | Description: SWITCH ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b777/aircraft-systems-44/rd-fa1041-01/
---
Part No.: RD-FA1041-01 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 777-300, 777-200, 777-200LR, 777-200ER, 777-300ER | Description: SWITCH ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b777/aircraft-systems-23/rd-fa1041-01/"
