item_part_number,sold_within_60d,received_date,invoice_date,days_in_stock,ata_groups,platform_type,url_ata_chapter,description,non_zero_periods,adi,cv2,demand_type,sales_count,last_sale_date,quantity_sum,quantity_mean,quantity_max,quantity_min,quantity_median,quantity_std,unit_sale_price_mean,unit_sale_price_max,unit_sale_price_min,unit_sale_price_median,unit_sale_price_std,unit_repair_cost_mean,unit_repair_cost_max,unit_repair_cost_min,unit_repair_cost_median,unit_repair_cost_std,days_since_last_sale_pn,sales_count_60d,sales_count_90d,sales_count_180d,sales_count_365d,last_unit_sale_price,last_unit_repair_cost,primary_platform_family,boeing_717_flag,boeing_737_flag,boeing_747_flag,boeing_757_flag,boeing_767_flag,boeing_777_flag,boeing_787_flag,boeing_family_count,platform_applicability_count
0006648-801,0,2023-07-16,2024-12-27,530,,unknown,,,4,1.6666666666666667,0.0,Intermittent,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
0006648-801,0,2024-03-13,2025-02-13,337,,unknown,,,4,1.6666666666666667,0.0,Intermittent,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
0006648-801,0,2024-08-16,2025-03-14,210,,unknown,,,4,1.6666666666666667,0.0,Intermittent,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
0006648-801,0,2024-08-30,2025-05-12,255,,unknown,,,4,1.6666666666666667,0.0,Intermittent,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
0008475-801,0,2024-02-15,2025-01-30,350,,unknown,,,1,,,Insufficient Data,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
001-WB-02-2000,0,2023-01-02,2025-04-14,833,,unknown,,,1,,,Insufficient Data,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
001-WB-02-2000,0,2024-06-05,2025-04-14,313,,unknown,,,1,,,Insufficient Data,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
001-WB-02-4000,0,2024-03-28,2025-06-09,438,,unknown,,,2,3.0,0.0,Intermittent,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
001-WB-02-4000,0,2024-06-18,2025-03-20,275,,unknown,,,2,3.0,0.0,Intermittent,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
001SP0005,0,2023-12-26,2025-07-23,575,,unknown,,,1,,,Insufficient Data,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0.0
