repair_priority_rank,item_part_number,prob_sale_60d,priority_tier,top_driver_1,top_driver_2,top_driver_3
1,3510-0044-05,0.9242832162659,High,sales_count_365d (+2.846),boeing_family_count (+0.594),non_zero_periods (-0.418)
2,4100941D,0.922651484869722,High,sales_count_365d (+2.425),boeing_family_count (+0.531),cv2 (-0.375)
3,S67-2002-18,0.9215365774413604,High,sales_count_365d (+2.431),url_ata_chapter (+0.564),boeing_family_count (+0.454)
4,622-8849-100,0.8212505344669033,High,sales_count_365d (+1.209),ata_groups (+0.415),sales_count_180d (+0.253)
5,RD-KA1003-05,0.8089763974442936,High,sales_count_365d (+1.462),url_ata_chapter (+0.692),sales_count_180d (+0.332)
6,293W3702-9,0.8068695621479806,High,sales_count_365d (+1.440),url_ata_chapter (+0.692),sales_count_180d (+0.332)
7,9781-2,0.6300855757411825,High,sales_count_365d (+0.997),boeing_767_flag (+0.233),sales_count_60d (+0.199)
8,4A3795-1,0.6219896206147222,High,sales_count_365d (+1.172),sales_count_180d (+0.299),ata_groups (+0.262)
9,285W0024-10B,0.6053913329746577,High,sales_count_365d (+1.919),ata_groups (+0.204),non_zero_periods (-0.141)
10,21C1-6-7,0.5644207524053881,Medium,sales_count_365d (+0.976),platform_applicability_count (+0.422),sales_count_180d (+0.217)
11,822-1710-312,0.5471735539470115,Medium,sales_count_365d (+1.019),url_ata_chapter (-0.534),platform_applicability_count (+0.495)
12,475571-2,0.48395596922135575,Medium,sales_count_365d (+2.283),url_ata_chapter (-0.756),non_zero_periods (-0.701)
13,E28180-20-0006,0.4534286306168901,Medium,boeing_787_flag (+0.630),boeing_family_count (+0.386),sales_count_365d (-0.301)
14,822-1494-103,0.3872472982295215,Medium,ata_groups (+0.699),demand_type (+0.325),sales_count_365d (-0.307)
15,MXP402-3,0.38484094671224117,Medium,sales_count_365d (+1.085),url_ata_chapter (-0.313),boeing_767_flag (+0.254)
16,0204-0021-1,0.3652015038182155,Medium,boeing_787_flag (+0.547),boeing_family_count (+0.312),sales_count_365d (-0.290)
17,100-602198-001,0.305020655746043,Medium,sales_count_365d (-0.293),boeing_767_flag (+0.278),boeing_family_count (+0.272)
18,476W2220-9N,0.30095835830368844,Medium,sales_count_365d (-0.332),boeing_767_flag (+0.252),url_ata_chapter (+0.192)
19,15-0714-4,0.3001477081075108,Medium,sales_count_365d (-0.320),boeing_767_flag (+0.267),boeing_family_count (+0.164)
20,2920033-105,0.3000993097345547,Medium,sales_count_365d (+1.200),url_ata_chapter (-0.328),non_zero_periods (-0.216)
21,RD-FA1041-01,0.2802239828713888,Low,ata_groups (+0.336),sales_count_365d (-0.323),non_zero_periods (+0.238)
22,90-0216-7,0.27432582926187393,Low,sales_count_365d (-0.287),boeing_767_flag (+0.273),platform_applicability_count (+0.075)
23,2050067-101,0.2673271778562481,Low,sales_count_365d (-0.310),boeing_family_count (+0.281),platform_applicability_count (-0.156)
24,771050-1,0.2640182254819443,Low,sales_count_365d (+0.992),url_ata_chapter (-0.778),ata_groups (+0.207)
25,2790475-103,0.26090638962458285,Low,boeing_family_count (+0.318),sales_count_365d (-0.305),boeing_767_flag (+0.255)
26,810221-2,0.25722580901683256,Low,sales_count_365d (+1.217),non_zero_periods (-0.446),boeing_family_count (-0.289)
27,DMN56-1,0.2560902287864276,Low,sales_count_365d (-0.287),boeing_767_flag (+0.271),boeing_family_count (+0.081)
